Country,TFR,contraception,infant.mortality,GDP,region,Continent
Afghanistan,6.9,63,154,2848,Asia,2
Albania,2.6,47,32,863,Europe,1
Algeria,3.81,52,44,1531,Africa,4
American-Samoa,1.35,71,11,2433,Oceania,5
Andorra,1.61,71,7,19121,Europe,1
Angola,6.69,19,124,355,Africa,4
Antigua,2.59,53,24,6966,Americas,3
Argentina,2.62,53,22,8055,Americas,3
Armenia,1.7,22,25,354,Europe,1
Australia,1.89,76,6,20046,Oceania,5
Austria,1.42,71,6,29006,Europe,1
Azerbaijan,2.3,17,33,321,Asia,2
Bahamas,1.95,62,14,12545,Americas,3
Bahrain,2.97,53,18,9073,Asia,2
Bangladesh,3.14,49,78,280,Asia,2
Barbados,1.73,55,9,7173,Americas,3
Belarus,1.4,50,15,994,Europe,1
Belgium,1.62,79,7,26582,Europe,1
Belize,3.66,47,30,2569,Americas,3
Benin,5.83,16,84,391,Africa,4
Bhutan,5.89,19,104,166,Asia,2
Bolivia,4.36,45,66,909,Americas,3
Bosnia,1.4,62,13,271,Europe,1
Botswana,4.45,33,56,3640,Africa,4
Brazil,2.17,74,42,4510,Americas,3
Brunei,2.7,69,9,16683,Asia,2
Bulgaria,1.45,64,16,1518,Europe,1
Burkina-Faso,6.57,8,97,165,Africa,4
Burundi,6.28,9,114,205,Africa,4
Cambodia,4.5,8,102,130,Asia,2
Cameroon,5.3,16,58,627,Africa,4
Canada,1.61,66,6,18943,Americas,3
Cape-Verde,3.56,55,41,994,Africa,4
Central-African-Rep,4.95,24,96,379,Africa,4
Chad,5.51,9,115,187,Africa,4
Chile,2.44,30,13,4736,Americas,3
China,1.8,83,38,582,Asia,2
Colombia,2.69,72,24,2215,Americas,3
Comoros,5.51,21,82,367,Africa,4
Congo,5.87,55,90,1008,Africa,4
Cook-Islands,3.5,38,26,5432,Oceania,5
Costa-Rica,2.95,75,12,2696,Americas,3
Croatia,1.6,53,10,4014,Europe,1
Cuba,1.55,70,9,1983,Americas,3
Cyprus,2.31,64,7,11459,Europe,1
Czech-Republic,1.4,69,9,4450,Europe,1
Dem-Rep-of-the-Congo,6.24,8,89,117,Africa,4
Denmark,1.82,78,7,33191,Europe,1
Djibouti,5.39,47,106,893,Africa,4
Dominica,2.5,50,44,2831,Americas,3
Dominican-Republic,2.8,64,34,1508,Americas,3
East-Timor,4.32,71,135,19121,Oceania,5
Ecuador,3.1,57,46,1565,Americas,3
Egypt,3.4,47,54,973,Africa,4
El-Salvador,3.09,53,39,1660,Americas,3
Equatorial-Guinea,5.51,24,107,388,Africa,4
Eritrea,5.34,5,98,96,Africa,4
Estonia,1.3,70,12,2433,Europe,1
Ethiopia,7,4,107,96,Africa,4
Fiji,2.76,40,20,2593,Oceania,5
Finland,1.83,78,5,24453,Europe,1
France,1.63,77,7,26444,Europe,1
French-Guiana,1.79,78,22,23530,Americas,3
French-Polynesia,2.85,66,10,19766,Oceania,5
Gabon,5.4,38,85,5007,Africa,4
Gambia,5.2,12,122,321,Africa,4
Gaza-Strip,8,71,37,1544,Asia,2
Georgia,1.9,17,23,343,Europe,1
Germany,1.3,75,6,29632,Europe,1
Ghana,5.28,20,73,397,Africa,4
Greece,1.38,55,8,8684,Europe,1
Grenada,1.35,54,14,2485,Americas,3
Guadeloupe,2.1,66,8,9145,Americas,3
Guam,3.04,71,10,16683,Oceania,5
Guatemala,4.9,31,40,1392,Americas,3
Guinea,6.61,2,124,442,Africa,4
Guinea-Bissau,5.42,18,132,131,Africa,4
Guyana,2.32,11,58,726,Americas,3
Haiti,4.6,18,82,386,Americas,3
Honduras,4.3,47,35,697,Americas,3
Hong-Kong,1.32,86,5,22898,Asia,2
Hungary,1.4,73,14,4325,Europe,1
Iceland,2.19,77,5,26217,Europe,1
India,3.07,41,72,365,Asia,2
Indonesia,2.63,55,48,1019,Oceania,5
Iran,4.77,65,39,1544,Asia,2
Iraq,5.25,14,95,11308,Asia,2
Ireland,1.8,69,6,17419,Europe,1
Israel,2.75,69,7,16738,Asia,2
Italy,1.19,66,7,19121,Europe,1
Ivory-Coast,5.1,11,86,736,Africa,4
Jamaica,2.44,62,12,1779,Americas,3
Japan,1.48,59,4,41718,Oceania,5
Jordan,5.13,35,30,1228,Asia,2
Kazakhstan,2.3,59,34,995,Asia,2
Kenya,4.85,33,65,330,Africa,4
Kiribati,3.8,37,65,654,Oceania,5
Korea-Dem-Peoples-Rep,2.1,62,22,271,Asia,2
Korea-Republic-of,1.65,79,9,9736,Asia,2
Kuwait,2.77,35,14,15757,Asia,2
Kyrgyzstan,3.21,31,39,331,Asia,2
Laos,6.69,19,86,359,Asia,2
Latvia,1.4,47,16,1764,Europe,1
Lebanon,2.75,50,29,3114,Asia,2
Lesotho,4.86,23,72,486,Africa,4
Liberia,6.33,6,153,1124,Africa,4
Libya,5.92,40,56,5498,Africa,4
Liechtenstein,1.45,71,5,42416,Europe,1
Lithuania,1.5,59,13,1595,Europe,1
Luxembourg,1.76,76,6,35109,Europe,1
Macau,1.6,71,8,26037,Asia,2
Macedonia,1.9,53,23,1660,Europe,1
Madagascar,5.65,17,77,215,Africa,4
Malawi,6.69,22,142,142,Africa,4
Malaysia,3.24,48,11,4313,Oceania,5
Maldives,6.8,40,49,1079,Asia,2
Mali,6.6,7,149,223,Africa,4
Malta,2.1,55,8,8793,Europe,1
Marshall-Islands,4.49,27,26,1649,Oceania,5
Martinique,2,64,7,12717,Americas,3
Mauritania,5.03,3,92,401,Africa,4
Mauritius,2.28,75,15,3508,Africa,4
Mexico,2.75,53,31,2700,Americas,3
Micronesia,5.6,60,20,2104,Oceania,5
Moldova,1.8,22,26,383,Europe,1
Monaco,1.63,78,7,26470,Europe,1
Mongolia,3.27,61,52,388,Asia,2
Morocco,3.1,50,51,1265,Africa,4
Mozambique,6.06,5,110,77,Africa,4
Myanmar,3.3,17,78,2399,Asia,2
Namibia,4.9,29,60,2059,Africa,4
Nepal,4.95,29,82,203,Asia,2
Netherlands,1.55,78,6,25635,Europe,1
Netherlands-Antilles,2.1,66,10,9039,Americas,3
New-Caledonia,2.53,25,18,19450,Oceania,5
New-Zealand,2.02,69,7,16866,Oceania,5
Nicaragua,3.85,49,44,464,Americas,3
Niger,7.1,4,114,207,Africa,4
Nigeria,5.97,6,77,587,Africa,4
Northern-Mariana-Islands,5.11,71,2,29006,Oceania,5
Norway,1.88,76,5,33734,Europe,1
Oman,7.2,9,25,6232,Asia,2
Pakistan,5.02,18,74,504,Asia,2
Palau,3,53,25,6417,Oceania,5
Panama,2.63,64,21,2934,Americas,3
Papua-New-Guinea,4.65,40,61,1083,Oceania,5
Paraguay,4.17,56,39,1860,Americas,3
Peru,2.98,64,45,2497,Americas,3
Philippines,3.62,40,35,1093,Oceania,5
Poland,1.65,64,13,3058,Europe,1
Portugal,1.48,66,8,10428,Europe,1
Puerto-Rico,2.1,64,9,12213,Americas,3
Qatar,3.77,32,17,14013,Asia,2
Reunion,2.1,67,7,11854,Africa,4
Romania,1.4,57,24,1570,Europe,1
Russia,1.35,32,19,2451,Europe,1
Rwanda,6,21,125,238,Africa,4
Saint-Kitts,2.63,41,25,4819,Americas,3
Saint-Lucia,3.82,47,18,3183,Americas,3
Samoa,3.8,34,58,1106,Oceania,5
San-Marino,1.61,66,7,19121,Europe,1
Sao-Tome,4.61,8,51,49,Africa,4
Saudi-Arabia,5.9,53,23,6583,Asia,2
Senegal,5.62,13,62,572,Africa,4
Seychelles,2.59,53,12,7272,Africa,4
Sierra-Leone,6.06,12,169,293,Africa,4
Singapore,1.79,74,5,25581,Oceania,5
Slovakia,1.5,74,12,3266,Europe,1
Slovenia,1.3,66,7,9652,Europe,1
Solomon-Islands,4.98,47,23,686,Oceania,5
Somalia,7,5,112,119,Africa,4
South-Africa,3.81,50,48,3230,Africa,4
Spain,1.22,59,7,14111,Europe,1
Sri-Lanka,2.1,66,15,716,Asia,2
St-Vincent,3.86,58,19,2305,Americas,3
Sudan,4.61,8,71,36,Africa,4
Suriname,2.39,50,24,967,Americas,3
Swaziland,4.46,20,65,1389,Africa,4
Sweden,1.8,78,5,26253,Europe,1
Switzerland,1.46,71,5,42416,Europe,1
Syria,4,36,33,3573,Asia,2
Tajikistan,3.93,21,56,122,Asia,2
Tanzania,5.48,18,80,139,Africa,4
Thailand,1.74,74,30,2896,Asia,2
Togo,6.08,12,86,322,Africa,4
Tonga,4.02,74,3,1787,Oceania,5
Trinidad-and-Tobago,2.1,53,14,4083,Americas,3
Tunisia,2.92,60,37,2030,Africa,4
Turkey,2.5,63,44,2814,Asia,2
Turkmenistan,3.58,20,57,321,Asia,2
Tuvalu,1.61,71,7,19121,Oceania,5
Uganda,7.1,15,113,305,Africa,4
Ukraine,1.38,23,18,694,Europe,1
United-Arab-Emirates,3.46,69,15,17690,Asia,2
United-Kingdom,1.72,82,6,18913,Europe,1
United-States,1.96,71,7,26037,Americas,3
Uruguay,2.25,38,17,5602,Americas,3
Uzbekistan,3.48,56,43,435,Asia,2
Vanuatu,4.36,15,38,1289,Oceania,5
Venezuela,2.98,52,21,3496,Americas,3
Viet-Nam,2.97,65,37,270,Asia,2
Virgin-Islands,3.03,71,12,2696,Americas,3
Western-Sahara,3.98,71,64,2497,Africa,4
Yemen,7.6,7,80,732,Asia,2
Yugoslavia,1.8,64,19,1487,Europe,1
Zambia,5.49,25,103,382,Africa,4
Zimbabwe,4.68,48,68,786,Africa,4
